business_id,date,code,description
67372,11/12/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
67372,11/12/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
67372,11/12/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
67372,11/12/15,23,"Standard not met. Plumbing: Installed, maintained"
67372,11/12/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
67372,6/20/16,3,Standard not met. Food Protection: Potentially hazardous food - safe temp.
67372,6/20/16,4,Standard not met. Food Protection: Facilities to maintain product temp.
67372,6/20/16,6,Standard not met. Food Protection: Potentially hazardous food properly thawed
67372,6/20/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
67372,6/20/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
67372,6/20/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
67372,6/20/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
67372,6/20/16,27,"Standard not met. Garbage Disposal: Containers or receptacles, covered, adequate number, insect/rodent proof, frequency, clean. Outside storage area enclosures properly constructed, clean, controlled incineration."
67372,6/20/16,29,Standard not met. Outer Openings: Outer openings protected
65440,3/31/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
65440,3/31/16,32,"Standard not met. Lighting: Lighting provided as required, fixtures shielded"
98932,3/30/16,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
98932,3/30/16,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
98932,3/30/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
98932,3/30/16,33,"Standard not met. Other Operations: Toxic Items properly stored, labeled, used"
98932,3/30/16,36,"Standard not met. Conformance With Approved Procedures: Compliance with variance, specialized process, and HACCP plan"
30690,10/7/15,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
30690,10/7/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
30690,10/7/15,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
30690,10/7/15,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
30690,4/14/16,3,Standard not met. Food Protection: Potentially hazardous food - safe temp.
30690,4/14/16,16,"Standard not met. Food Equipment & Utensils: Dishwashing facilities designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge"
31040,12/2/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
31040,12/2/15,23,"Standard not met. Plumbing: Installed, maintained"
31040,12/2/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
31040,6/15/16,2,"Standard not met. Food Sources: Container, properly labeled"
31040,6/15/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
31040,6/15/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
65439,3/31/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
65439,3/31/16,32,"Standard not met. Lighting: Lighting provided as required, fixtures shielded"
65080,12/1/15,5,Standard not met. Food Protection: Thermometers provided and conspicuous
65080,12/1/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
65080,12/1/15,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
65080,5/6/16,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
65080,5/6/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
65080,5/6/16,32,"Standard not met. Lighting: Lighting provided as required, fixtures shielded"
30740,11/25/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
30740,11/25/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
30740,11/25/15,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
30740,6/21/16,3,Standard not met. Food Protection: Potentially hazardous food - safe temp.
30740,6/21/16,4,Standard not met. Food Protection: Facilities to maintain product temp.
30740,6/21/16,9,Standard not met. Food Protection: Handling of food (ice) minimized. Dispensing utensils properly stored during use.
30740,6/21/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
30740,6/21/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
30740,6/21/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
30740,6/21/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30740,6/21/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
96528,12/10/15,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
96528,5/13/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
41689,8/4/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
41689,8/4/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
41689,2/17/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
41689,2/17/16,16,"Standard not met. Food Equipment & Utensils: Dishwashing facilities designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge"
70022,6/23/16,13,Standard not met. Personnel: Supervision: Person in charge present and demonstrates knowledge of food safety principles
83286,5/12/16,23,"Standard not met. Plumbing: Installed, maintained"
83286,5/12/16,25,"Standard not met. Toilet & Handwashing Facilities: No., conv., designed, installed"
79573,6/15/16,21,"Standard not met. Water: Water source, safe, hot & cold"
79573,6/15/16,23,"Standard not met. Plumbing: Installed, maintained"
70024,9/15/15,16,"Standard not met. Food Equipment & Utensils: Dishwashing facilities designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge"
77812,12/3/15,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
89304,9/23/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
89304,3/2/16,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
82821,6/1/16,16,"Standard not met. Food Equipment & Utensils: Dishwashing facilities designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge"
30743,3/16/16,1,"Standard not met. Food Sources: Source, Records, Condition, Spoilage, Adulterated"
30743,3/16/16,4,Standard not met. Food Protection: Facilities to maintain product temp.
30743,3/16/16,33,"Standard not met. Other Operations: Toxic Items properly stored, labeled, used"
93062,9/23/15,3,Standard not met. Food Protection: Potentially hazardous food - safe temp.
93062,9/23/15,12,"Standard not met. Personnel: Clean clothes, hair restraints"
93062,9/23/15,13,Standard not met. Personnel: Supervision: Person in charge present and demonstrates knowledge of food safety principles
93062,9/23/15,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
67013,6/23/16,4,Standard not met. Food Protection: Facilities to maintain product temp.
67013,6/23/16,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
